epoch,loss,mae,val_loss,val_mae
0,0.9186290502548218,0.8666391968727112,0.9287237524986267,0.8720258474349976
1,0.9010316133499146,0.8587605357170105,0.8820981383323669,0.8453418016433716
2,0.8672802448272705,0.839494526386261,0.8848292231559753,0.8532226085662842
3,0.8449859619140625,0.829718828201294,0.8885431289672852,0.848297119140625
4,0.830133855342865,0.8210755586624146,0.8666524887084961,0.8340957164764404
5,0.7971470355987549,0.8046837449073792,0.7787538766860962,0.7876157760620117
6,0.775604248046875,0.7933251261711121,0.7813758254051208,0.7939162254333496
7,0.7518473267555237,0.7797813415527344,0.7395533323287964,0.7658578753471375
8,0.7264783382415771,0.7635146975517273,0.7568645477294922,0.7787593007087708
9,0.7060042023658752,0.7520628571510315,0.6910897493362427,0.7347816228866577
10,0.6824761033058167,0.7384759187698364,0.6989979147911072,0.7471476197242737
11,0.6610932350158691,0.7268614768981934,0.6579880714416504,0.722235918045044
12,0.6380904316902161,0.7127779722213745,0.6489532589912415,0.7191880345344543
13,0.6161757707595825,0.6994758248329163,0.6097211837768555,0.6958649158477783
14,0.5918888449668884,0.6845971941947937,0.6045919060707092,0.6871763467788696
15,0.5720051527023315,0.6721124649047852,0.5792379379272461,0.6740416288375854
16,0.5537940263748169,0.6603091955184937,0.5389305353164673,0.6481553316116333
17,0.5298760533332825,0.6452452540397644,0.5543777346611023,0.6576806902885437
18,0.5120354890823364,0.6328521966934204,0.5113851428031921,0.6277258396148682
19,0.4945848882198334,0.6198615431785583,0.5033285021781921,0.6200164556503296
20,0.46972984075546265,0.604326605796814,0.48574647307395935,0.6088873147964478
21,0.4500058889389038,0.5883856415748596,0.45828819274902344,0.5968037843704224
22,0.4346274137496948,0.578217625617981,0.4132109582424164,0.5569431781768799
23,0.40572625398635864,0.555199921131134,0.4078587591648102,0.5557756423950195
24,0.38649681210517883,0.5395092964172363,0.4016617238521576,0.5495819449424744
25,0.3719046711921692,0.5265183448791504,0.35895219445228577,0.5150949954986572
26,0.35208165645599365,0.5095523595809937,0.3450189530849457,0.5064677000045776
27,0.3287599980831146,0.4907645285129547,0.3197123110294342,0.4846267104148865
28,0.3149801790714264,0.47808584570884705,0.30194583535194397,0.4663366675376892
29,0.2978956997394562,0.4598991274833679,0.27528223395347595,0.45138585567474365
30,0.2791786193847656,0.4440724849700928,0.26152023673057556,0.4341025948524475
31,0.2612996995449066,0.42576098442077637,0.2591473162174225,0.4259815812110901
32,0.24659857153892517,0.41354095935821533,0.2466856688261032,0.4121744632720947
33,0.24265526235103607,0.40350571274757385,0.2311869114637375,0.4006502628326416
34,0.22876383364200592,0.38997310400009155,0.22007571160793304,0.38222891092300415
35,0.21878653764724731,0.37643206119537354,0.20632138848304749,0.3717288374900818
36,0.22080180048942566,0.37378421425819397,0.2081194370985031,0.3651044964790344
37,0.20628172159194946,0.35903164744377136,0.19134031236171722,0.3507915735244751
38,0.1944512575864792,0.3452734351158142,0.19778843224048615,0.3498481214046478
39,0.19573122262954712,0.3420718312263489,0.1878298819065094,0.33701542019844055
40,0.18754498660564423,0.33388128876686096,0.18680810928344727,0.334816575050354
41,0.1800614297389984,0.3228028118610382,0.20082660019397736,0.3411851227283478
42,0.18655706942081451,0.32409608364105225,0.19722314178943634,0.33299413323402405
43,0.17809075117111206,0.3132319450378418,0.16717062890529633,0.30867916345596313
44,0.18034857511520386,0.3127882778644562,0.1601858139038086,0.3011278808116913
45,0.17765365540981293,0.3082965314388275,0.17439688742160797,0.30809247493743896
46,0.168987438082695,0.29939353466033936,0.157663032412529,0.2910400629043579
47,0.1714571714401245,0.2997850179672241,0.1618255376815796,0.291156142950058
48,0.17267557978630066,0.2983492314815521,0.17399971187114716,0.30100250244140625
49,0.17429107427597046,0.2962862551212311,0.18512198328971863,0.30358004570007324
50,0.16818778216838837,0.29159167408943176,0.15846478939056396,0.28092485666275024
51,0.16940884292125702,0.2891986668109894,0.16428957879543304,0.28409603238105774
52,0.1652272790670395,0.282545804977417,0.15767017006874084,0.27761727571487427
53,0.17161084711551666,0.28712666034698486,0.1615077704191208,0.28104740381240845
54,0.1653028428554535,0.2801898717880249,0.15229754149913788,0.27160191535949707
55,0.16277673840522766,0.27633678913116455,0.1631564199924469,0.28051602840423584
56,0.16294971108436584,0.27636879682540894,0.15556196868419647,0.2728208899497986
57,0.1603163480758667,0.2737857699394226,0.1663353443145752,0.2782139778137207
58,0.1641729325056076,0.27633482217788696,0.18151937425136566,0.2871900796890259
59,0.16648991405963898,0.27574124932289124,0.1702546626329422,0.2743559181690216
60,0.16439631581306458,0.27258211374282837,0.17305780947208405,0.2794780731201172
61,0.1637154370546341,0.27102401852607727,0.17264533042907715,0.27560722827911377
62,0.16141703724861145,0.26724013686180115,0.15280763804912567,0.26114219427108765
63,0.15974216163158417,0.26628467440605164,0.15242746472358704,0.2655225098133087
64,0.1615903079509735,0.2671339213848114,0.17139720916748047,0.27184540033340454
